metric,value
total_images,38034
train_images,26623
validation_images,5706
test_images,5705
train_percentage,69.99789661881475
validation_percentage,15.002366303833412
test_percentage,14.999737077351844
train_patients,13634
validation_patients,2919
test_patients,2931
train_validation_patient_overlap,0
train_test_patient_overlap,0
validation_test_patient_overlap,0
overall_class_0_count,12996
train_class_0_count,9096
validation_class_0_count,1950
test_class_0_count,1950
overall_class_1_count,5825
train_class_1_count,4078
validation_class_1_count,874
test_class_1_count,873
overall_class_2_count,8262
train_class_2_count,5783
validation_class_2_count,1240
test_class_2_count,1239
overall_class_3_count,5373
train_class_3_count,3762
validation_class_3_count,805
test_class_3_count,806
overall_class_4_count,5578
train_class_4_count,3904
validation_class_4_count,837
test_class_4_count,837
patient_overlap_status,ZERO_OVERLAP
